Date,Time (UTC),Year,Vehicle,Payload,Payload Mass (kg),Orbit,Orbit Category
2022-07-17,14:20:00,2022,Falcon 9,Starlink: Group 4-22 (53 satellites),16250,LEO,LEO (Starlink)
2022-07-22,17:39:00,2022,Falcon 9,Starlink: Group 3-2) (46 satellites),14100,SSO,SSO (Starlink)
2022-07-24,13:38:00,2022,Falcon 9,Starlink: Group 4-25 (53 satellites),16250,LEO,LEO (Starlink)
2022-08-04,23:08:00,2022,Falcon 9,Danuri (Korea Pathfinder Lunar Orbiter),679,BLT,Other
2022-08-10,02:14:00,2022,Falcon 9,Starlink: Group 4-26 (52 satellites),16000,LEO,LEO (Starlink)
2022-08-12,21:40:00,2022,Falcon 9,Starlink: Group 3-3 (46 satellites),14100,SSO,SSO (Starlink)
2022-08-19,19:21:00,2022,Falcon 9,Starlink: Group 4-27 (53 satellites),16250,LEO,LEO (Starlink)
2022-08-28,03:41:00,2022,Falcon 9,Starlink: Group 4-23 (54 satellites),16700,LEO,LEO (Starlink)
2022-08-31,05:40:00,2022,Falcon 9,Starlink: Group 3-4 (46 satellites),14200,SSO,SSO (Starlink)
2022-09-05,02:09:00,2022,Falcon 9,Starlink: Group 4-20 (51 satellites)Sherpa-LTC2,16000,LEO,LEO (Starlink)
2022-09-11,01:20:00,2022,Falcon 9,Starlink: Group 4-2 (34 satellites)[356] (34 satellites)BlueWalker-3,11938,LEO,LEO (Starlink)
2022-09-19,00:18:00,2022,Falcon 9,Starlink: Group 4-34 (54 satellites),16700,LEO,LEO (Starlink)
2022-09-24,23:32:00,2022,Falcon 9,Starlink: Group 4-35 (52 satellites),16100,LEO,LEO (Starlink)
2022-10-05,16:00:00,2022,Falcon 9,Crew-5 (Crew Dragon C210.2 Endurance)[98],13000,LEO (ISS),LEO (Other)
2022-10-05,23:10:00,2022,Falcon 9,Starlink: Group 4-29 (52 satellites),16100,LEO,LEO (Starlink)
2022-10-08,23:05:00,2022,Falcon 9,Galaxy 33 & 34,7350,GTO,GTO/GEO
2022-10-15,05:22:00,2022,Falcon 9,Hotbird 13F,4500,GTO,GTO/GEO
2022-10-20,14:50:00,2022,Falcon 9,Starlink: Group 4-36 (54 satellites),16700,LEO,LEO (Starlink)
2022-10-28,01:14:00,2022,Falcon 9,Starlink: Group 4-31 (53 satellites),16400,LEO,LEO (Starlink)
2022-11-01,13:41:00,2022,Falcon Heavy,USSF-44 (Shepherd Demonstration & LDPE-2)[387],3750,GEO,GTO/GEO
2022-11-03,05:22:00,2022,Falcon 9,Hotbird 13G,4500,GTO,GTO/GEO
2022-11-12,16:06:00,2022,Falcon 9,Galaxy 31 and Galaxy 32 (2 satellites),6600,GTO,GTO/GEO
2022-11-23,02:57:00,2022,Falcon 9,Eutelsat 10B,5500,GTO,GTO/GEO
2022-11-26,19:20:00,2022,Falcon 9,SpaceX CRS-26(Dragon C211.1)[401],3528,LEO (ISS),LEO (Other)
2022-12-08,22:27:00,2022,Falcon 9,OneWeb Flight #15 / SpaceX Flight 1 (40 satellites),6000,Polar LEO,LEO (Other)
